Title,Price,Price Per,Image URL
Vitamin Hit Mandarin Detox 500Ml,€2.15,€4.30/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/0954bc2c-27e1-44bc-b514-6895b9a151d7/cb6b2503-f84c-4077-8fe3-def9e7a4b150_1401021922.jpeg?h=225&w=225
Vitamin Hit Apple Lean And Green 500Ml,€2.15,€4.30/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/dc538c26-3b9e-465f-8f8f-1422a5de09be/59aa3122-b6ab-4a09-9fff-4a7b2f14ff7f_938638824.jpeg?h=225&w=225
Deep River Rock 500Ml X 6,€3.95,€1.32/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/594446e1-2bc9-4ccb-b863-858b8d85adcf/72edf699-565e-4b0f-9336-94c612ebca78_521260441.jpeg?h=225&w=225
Vitamin Hit Perform 500Ml,€2.15,€4.30/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/55cd43c2-06e6-4df0-a950-7b1f115c66c7/14eab3ab-dd29-4032-a7fc-cc58a38766f8_56004255.jpeg?h=225&w=225
Volvic Touch of Fruit Strawberry Still Flavoured Water 1.5L,€2.00,€1.33/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/a685602c-f757-4639-9e88-e154a7138ea9/c2a515a1-f3b6-4b46-b3bc-877d4a02c9a6_1639552345.jpeg?h=225&w=225
Volvic Touch of Fruit Summer Fruits Still Flavoured Water 1.5L,€2.00,€1.33/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/b175e07b-f5c6-43cb-a91a-b2b31923693b/64523d74-5e00-4bc0-bba2-7fb98482d631_1954234766.jpeg?h=225&w=225
Ballygowan Sports Still Water 1 Litre,€1.90,€1.90/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/a2eeadc3-c2c8-41df-b89b-e6dc8772b2ec/a40bb702-04a1-4d96-bec0-bc3b418dc20e_1679628427.jpeg?h=225&w=225
Activit Tropical Drink 330Ml X4,€5.00,€3.79/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/686a7348-10cd-4aea-9fb6-9ff1c4253a9d/f7845a56-c651-4a4f-9c76-c9c9ad7b031a_909964797.jpeg?h=225&w=225
Actiph Alkaline Ionised Water 1 Litre,€1.95,€1.95/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/31631ba8-b566-4cdd-9cea-35c4aceb117c/e87786a4-c467-4fcb-95f9-0f4819b0f580_1767764714.jpeg?h=225&w=225
Volvic Touch of Fruit Lemon & Lime Still Flavoured Water 1.5L,€2.00,€1.33/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/066b0950-5b89-4b6e-933b-c354033167e1/3732d9a3-96b8-4007-b151-3091fbf782d2_1170096341.jpeg?h=225&w=225
San Pellegrino Sparkling Natural Mineral Water 500ml,€1.25,€2.50/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/7e025bc3-d8ba-42ba-b42f-b622180b22c6/1c4e381c-1067-4862-aae5-60db293c415d_1204361494.jpeg?h=225&w=225
